Date,Time,CPA,Width,Speed_km_s,KineticEnergy_J
2003/11/20,08:06:05,Halo,360,669,3.8e+15*
2004/01/20,00:06:05,Halo,360,965,1.0e+16*
2004/01/21,04:54:05,Halo,360,762,5.6e+15*
2004/01/26,15:30:05,Halo,360,879,2.9e+15*
2004/04/06,13:31:43,Halo,360,1368,5.9e+15*
2004/04/08,10:30:19,Halo,360,1068,1.9e+15*
2004/04/11,11:54:05,Halo,360,1132,1.2e+16*
2004/04/29,19:27:14,Halo,360,185,2.6e+15*
2004/05/23,11:06:06,Halo,360,988,3.0e+15*
2004/06/07,00:50:05,Halo,360,723,2.1e+15*
2004/07/02,05:00:05,Halo,360,892,1.4e+17*
2004/07/05,23:06:05,Halo,360,1444,1.1e+16*
2004/07/06,20:06:06,Halo,360,1307,8.3e+15*
2004/07/13,09:30:05,Halo,360,747,1.9e+15*
2004/07/20,13:31:52,Halo,360,710,1.4e+16*
2004/07/23,16:06:06,Halo,360,824,1.2e+15*
2004/07/25,14:54:05,Halo,360,1333,1.1e+16*
2004/07/29,12:06:05,Halo,360,1180,4.1e+15*
2004/08/08,08:54:05,Halo,360,1004,6.4e+15*
2004/09/01,15:38:12,Halo,360,420,1.0e+15*
2004/09/03,00:30:05,Halo,360,751,2.9e+15*
2004/09/03,00:54:05,Halo,360,369,3.7e+15*
2004/09/03,10:30:18,Halo,360,737,3.7e+15*
2004/09/04,06:54:05,Halo,360,1067,5.0e+15*
2004/09/12,00:36:06,Halo,360,1328,1.9e+16*
2004/10/27,10:30:25,Halo,360,306,1.5e+15*
2004/10/30,06:54:05,Halo,360,422,2.4e+15*
2004/10/30,16:54:05,Halo,360,690,2.2e+15*
2004/11/03,16:06:05,Halo,360,1068,4.2e+15*
2004/11/04,09:54:05,Halo,360,653,6.0e+15*
2004/11/06,01:31:51,Halo,360,818,3.6e+15*
2004/11/07,16:54:05,Halo,360,1759,1.4e+16*
2004/11/08,03:54:05,Halo,360,462,5.6e+15*
2004/11/09,17:26:06,Halo,360,2000,9.2e+15*
2004/11/10,02:26:05,Halo,360,3387,9.5e+15*
2004/12/03,00:26:05,Halo,360,1216,8.3e+15*
2004/12/08,20:26:05,Halo,360,611,5.3e+15*
2004/12/15,17:36:05,Halo,360,621,2.0e+15*
2004/12/30,22:30:05,Halo,360,1035,9.5e+15*
2005/01/01,00:54:05,Halo,360,832,3.7e+15*
2005/01/05,15:30:06,Halo,360,735,4.5e+15*
2005/01/13,17:54:05,Halo,360,495,4.2e+14*
2005/01/15,06:30:05,Halo,360,2049,1.4e+16*
2005/01/15,23:06:50,Halo,360,2861,1.8e+16*
2005/01/17,09:30:05,Halo,360,2094,3.2e+16*
2005/01/17,09:54:05,Halo,360,2547,1.7e+16*
2005/01/19,08:29:39,Halo,360,2020,7.6e+15*
2005/02/01,11:06:07,Halo,360,1380,1.1e+16*
2005/04/19,22:06:05,Halo,360,824,8.4e+15*
2005/04/30,14:26:05,Halo,360,323,2.5e+15*
2005/05/01,00:50:05,Halo,360,634,4.6e+15*
2005/05/02,05:26:06,Halo,360,689,5.8e+15*
2005/05/05,20:30:05,Halo,360,1180,1.4e+16*
2005/05/06,17:28:31,Halo,360,1128,9.6e+15*
2005/05/10,16:06:05,Halo,360,609,2.4e+15*
2005/05/11,20:13:08,Halo,360,550,1.0e+16*
2005/05/13,17:12:05,Halo,360,1689,1.5e+12*
2005/05/26,15:06:05,Halo,360,586,1.5e+16*
2005/06/03,12:32:10,Halo,360,1679,3.2e+15*
2005/06/14,07:24:05,Halo,360,791,5.3e+15*
2005/06/25,08:06:05,Halo,360,852,4.8e+15*
2005/06/26,07:54:05,Halo,360,454,6.6e+15*
2005/06/28,17:06:05,Halo,360,1303,4.8e+15*
2005/07/05,15:30:05,Halo,360,772,6.2e+15*
2005/07/07,17:06:07,Halo,360,683,9.1e+14*
2005/07/09,22:30:05,Halo,360,1540,1.2e+15*
2005/07/12,16:54:05,Halo,360,523,1.1e+16*
2005/07/13,14:30:05,Halo,360,1423,1.8e+16*
2005/07/14,10:54:05,Halo,360,2115,5.0e+15*
2005/07/17,11:30:05,Halo,360,1527,1.1e+16*
2005/07/21,03:54:05,Halo,360,925,5.1e+15*
2005/07/22,23:54:05,Halo,360,527,8.2e+14*
2005/07/24,11:30:07,Halo,360,1258,1.0e+16*
2005/07/24,13:54:05,Halo,360,2528,3.5e+15*
2005/07/24,22:30:05,Halo,360,1234,2.6e+15*
2005/07/25,11:06:05,Halo,360,1660,6.1e+15*
2005/07/26,04:54:29,Halo,360,1458,3.1e+15*
2005/07/27,04:54:05,Halo,360,1787,6.4e+15*
2005/07/30,06:50:28,Halo,360,1968,1.5e+16*
2005/08/22,01:31:48,Halo,360,1194,5.3e+15*
2005/08/22,17:30:05,Halo,360,2378,6.3e+15*
2005/08/23,14:54:05,Halo,360,1929,5.9e+15*
2005/08/29,10:54:05,Halo,360,1600,8.5e+15*
2005/08/31,11:30:05,Halo,360,825,2.4e+15*
2005/08/31,22:30:05,Halo,360,1808,1.7e+16*
2005/09/02,00:30:05,Halo,360,1384,5.5e+15*
2005/09/03,03:12:05,Halo,360,1672,5.5e+15*
2005/09/05,09:48:05,Halo,360,2326,1.8e+16*
2005/09/09,19:48:05,Halo,360,2257,1.6e+17*
2005/09/10,21:52:07,Halo,360,1893,3.9e+16*
2005/09/11,13:00:53,Halo,360,1922,1.2e+16*
2005/09/13,20:00:05,Halo,360,1866,1.9e+16*
2005/10/22,06:30:05,Halo,360,253,4.3e+15*
2005/12/07,19:12:05,Halo,360,673,5.9e+16*
2006/02/10,23:30:05,Halo,360,471,7.3e+15*
2006/05/01,15:30:04,Halo,360,487,1.7e+15*
2006/05/14,21:30:07,Halo,360,316,2.4e+15*
2006/05/26,00:06:04,Halo,360,479,3.4e+15*
2006/07/06,08:54:04,Halo,360,911,1.8e+16*
2006/08/16,16:30:04,Halo,360,888,1.0e+16*
2006/10/31,04:30:13,Halo,360,482,3.9e+15*
2006/11/06,17:54:04,Halo,360,1994,4.4e+15*
2006/12/06,20:12:05,Halo,360,----,4.5e+14*
2006/12/13,02:54:04,Halo,360,1774,4.7e+15*
2006/12/14,22:30:04,Halo,360,1042,7.5e+15*
2007/01/19,04:30:04,Halo,360,562,4.2e+15*
2007/01/25,06:54:04,Halo,360,1367,9.5e+15*
2007/07/30,04:54:04,Halo,360,563,2.1e+15*
2008/10/17,07:31:39,Halo,360,143,1.6e+15*
2009/12/16,04:30:03,Halo,360,276,1.2e+15*
2010/02/07,03:54:03,Halo,360,421,3.8e+15*
2010/04/03,10:33:58,Halo,360,668,3.2e+15*
2010/05/23,18:06:05,Halo,360,258,2.4e+15*
2010/05/24,14:06:05,Halo,360,427,3.8e+15*
2010/08/07,18:36:06,Halo,360,871,7.9e+15*
2010/08/14,10:12:05,Halo,360,1205,6.5e+15*
2010/08/31,21:17:21,Halo,360,1304,6.7e+15*
2010/12/14,15:36:05,Halo,360,835,4.8e+15*
2011/02/15,02:24:05,Halo,360,669,4.3e+15*
2011/03/07,20:00:05,Halo,360,2125,5.6e+15*
2011/03/21,02:24:05,Halo,360,1341,1.6e+16*
2011/03/26,06:24:05,Halo,360,699,2.9e+15*
2011/04/24,21:24:09,Halo,360,300,2.1e+15*
2011/06/02,08:12:06,Halo,360,976,1.4e+15*
2011/06/04,06:48:06,Halo,360,1407,1.0e+16*
2011/06/04,22:05:02,Halo,360,2425,1.7e+16*
2011/06/07,06:49:12,Halo,360,1255,2.3e+16*
2011/06/07,19:16:26,Halo,360,738,3.2e+15*
2011/06/13,04:24:06,Halo,360,957,2.0e+15*
2011/06/21,03:16:10,Halo,360,719,6.2e+15*
2011/07/25,18:12:05,Halo,360,347,2.2e+15*
2011/07/26,10:12:06,Halo,360,382,7.6e+14*
2011/08/03,14:00:07,Halo,360,610,8.7e+15*
2011/08/04,04:12:05,Halo,360,1315,1.1e+16*
2011/08/09,08:12:06,Halo,360,1610,1.1e+16*
2011/08/23,23:58:18,Halo,360,312,9.7e+15*
2011/09/06,23:05:57,Halo,360,575,1.5e+16*
2011/09/22,10:48:06,Halo,360,1905,2.1e+16*
2011/09/24,12:48:07,Halo,360,1915,1.6e+16*
2011/09/24,19:36:06,Halo,360,972,3.1e+15*
2011/10/01,20:48:05,Halo,360,1238,8.8e+15*
2011/10/04,13:25:51,Halo,360,1101,1.6e+16*
2011/10/22,01:25:53,Halo,360,593,1.6e+16*
2011/10/22,10:24:05,Halo,360,1005,1.2e+16*
2011/10/27,12:00:06,Halo,360,570,5.8e+15*
2011/11/03,23:30:05,Halo,360,991,9.7e+15*
2011/11/04,01:25:29,Halo,360,756,1.1e+16*
2011/11/09,13:36:05,Halo,360,907,1.4e+16*
2011/11/13,18:36:05,Halo,360,596,1.1e+16*
2011/11/17,20:36:05,Halo,360,1041,1.4e+16*
2011/11/20,23:12:06,Halo,360,641,2.9e+15*
2011/11/26,07:12:06,Halo,360,933,1.2e+16*
2011/12/07,09:36:05,Halo,360,713,3.0e+15*
